split,mode,seed,n_original,n_excluded,excluded_ids,excluded_accuracy_mean,original_accuracy,filtered_accuracy,delta
v3_standard,full,,60,1,295,0.0,0.29000000000000004,0.29491525423728815,0.004915254237288114
v3_standard,no_consist,,60,1,295,0.0,0.016666666666666666,0.01694915254237288,0.00028248587570621486
v3_standard,no_diverse,,60,1,295,0.2,0.26,0.26101694915254237,0.0010169491525423568
v3_standard,concat,,60,1,295,0.0,0.11666666666666667,0.11864406779661017,0.001977401129943504
unseen_occupation_v3,full,,60,1,295,0.2,0.17,0.1694915254237288,-0.0005084745762712062
unseen_occupation_v3,no_consist,,60,1,295,0.0,0.016666666666666666,0.01694915254237288,0.00028248587570621486
unseen_occupation_v3,no_diverse,,60,1,295,1.0,0.16,0.14576271186440679,-0.014237288135593218
unseen_occupation_v3,concat,,60,1,295,0.8,0.2833333333333333,0.2745762711864407,-0.008757062146892647
unseen_combo_v3,full,,60,1,213,0.0,0.2033333333333333,0.20677966101694914,0.0034463276836158296
unseen_combo_v3,no_consist,,60,1,213,0.0,0.016666666666666666,0.01694915254237288,0.00028248587570621486
unseen_combo_v3,no_diverse,,60,1,213,0.4,0.19333333333333333,0.18983050847457625,-0.003502824858757081
unseen_combo_v3,concat,,60,1,213,0.0,0.16999999999999998,0.17288135593220338,0.0028813559322034
v3_large,full,42,100,5,408;428;430;446;456,0.2,0.05199999999999999,0.04421052631578948,-0.007789473684210513
v3_large,full,43,100,5,408;428;430;446;456,0.2,0.036,0.02736842105263158,-0.008631578947368417
v3_large,full,44,100,5,408;428;430;446;456,0.0,0.032,0.03368421052631579,0.001684210526315788
v3_large,no_consist,42,100,5,408;428;430;446;456,0.04,0.02,0.018947368421052633,-0.0010526315789473675
v3_large,no_consist,43,100,5,408;428;430;446;456,0.0,0.012,0.01263157894736842,0.0006315789473684205
v3_large,no_consist,44,100,5,408;428;430;446;456,0.0,0.008,0.008421052631578947,0.000421052631578947
v3_large,no_diverse,42,100,5,408;428;430;446;456,0.12000000000000002,0.09399999999999999,0.09263157894736843,-0.0013684210526315604
v3_large,no_diverse,43,100,5,408;428;430;446;456,0.08,0.044000000000000004,0.042105263157894736,-0.0018947368421052685
v3_large,no_diverse,44,100,5,408;428;430;446;456,0.0,0.024,0.02526315789473684,0.001263157894736841
v3_large,concat,42,100,5,408;428;430;446;456,0.48,0.064,0.042105263157894736,-0.021894736842105265
v3_large,concat,43,100,5,408;428;430;446;456,0.08,0.054000000000000006,0.05263157894736842,-0.0013684210526315882
v3_large,concat,44,100,5,408;428;430;446;456,0.4,0.05600000000000001,0.037894736842105266,-0.018105263157894742
