representation,axis,balanced_accuracy,macro_f1,regularization,n_train,n_test
raw_1024,E,0.7999999999999999,0.7993281075027996,10.0,240,60
raw_1024,N,0.8154761904761904,0.8202147525676938,100.0,240,60
raw_1024,A,0.9409722222222222,0.935430441461297,100.0,240,60
raw_1024,C,0.9729166666666668,0.9729166666666668,100.0,240,60
raw_1024,O,0.9583333333333334,0.9583152409900131,0.001,240,60
projected_64,E,0.7333333333333334,0.73989898989899,10.0,240,60
projected_64,N,0.7351190476190476,0.7538770297390988,0.001,240,60
projected_64,A,0.7569444444444445,0.7374764595103578,10.0,240,60
projected_64,C,0.86875,0.8730682670667668,10.0,240,60
projected_64,O,0.9027777777777778,0.9093492469451551,1.0,240,60
